timestamp,category,provider,model,deployment,test_id,run_id,latency_ms,ttft_ms,input_size,output_size,input_unit,output_unit,cost_usd,quality_metric,quality_metric_name,output_preview,error
2026-05-24T06:14:27.883+00:00,stt,openai,whisper-1,cloud,a1_saludo_corto,1,2839.025399996899,,424,73,seconds_x100,chars,0.0004242875,0.0,WER,"Hola, buenos días. Soy un agente virtual de prueba para el benchmarking. ",
2026-05-24T06:14:29.137+00:00,stt,openai,whisper-1,cloud,a1_saludo_corto,2,1253.656700020656,,424,73,seconds_x100,chars,0.0004242875,0.0,WER,"Hola, buenos días. Soy un agente virtual de prueba para el benchmarking. ",
2026-05-24T06:14:30.205+00:00,stt,openai,whisper-1,cloud,a1_saludo_corto,3,1067.7858999697492,,424,73,seconds_x100,chars,0.0004242875,0.0,WER,"Hola, buenos días. Soy un agente virtual de prueba para el benchmarking. ",
2026-05-24T06:14:31.883+00:00,stt,openai,whisper-1,cloud,a1_saludo_corto,4,1677.2939999355003,,424,73,seconds_x100,chars,0.0004242875,0.0,WER,"Hola, buenos días. Soy un agente virtual de prueba para el benchmarking. ",
2026-05-24T06:14:34.055+00:00,stt,openai,whisper-1,cloud,a1_saludo_corto,5,2172.1331999870017,,424,73,seconds_x100,chars,0.0004242875,0.0,WER,"Hola, buenos días. Soy un agente virtual de prueba para el benchmarking. ",
2026-05-24T06:14:35.234+00:00,stt,openai,whisper-1,cloud,a2_oracion_media,1,1177.058200002648,,1109,191,seconds_x100,chars,0.0011090125,0.09523809523809523,WER,"El Benchmarking Sistemático de Servicios Cognitivos contempla seis dimensiones interdependientes que incluyen latencia, precisión, costo-privacidad, customización y facilidad de integración. ",
2026-05-24T06:14:37.311+00:00,stt,openai,whisper-1,cloud,a2_oracion_media,2,2076.123800012283,,1109,191,seconds_x100,chars,0.0011090125,0.09523809523809523,WER,"El Benchmarking Sistemático de Servicios Cognitivos contempla seis dimensiones interdependientes que incluyen latencia, precisión, costo-privacidad, customización y facilidad de integración. ",
2026-05-24T06:14:42.608+00:00,stt,openai,whisper-1,cloud,a2_oracion_media,3,5296.470100060105,,1109,191,seconds_x100,chars,0.0011090125,0.09523809523809523,WER,"El Benchmarking Sistemático de Servicios Cognitivos contempla seis dimensiones interdependientes que incluyen latencia, precisión, costo-privacidad, customización y facilidad de integración. ",
2026-05-24T06:14:46.194+00:00,stt,openai,whisper-1,cloud,a2_oracion_media,4,3585.8572999713942,,1109,191,seconds_x100,chars,0.0011090125,0.09523809523809523,WER,"El Benchmarking Sistemático de Servicios Cognitivos contempla seis dimensiones interdependientes que incluyen latencia, precisión, costo-privacidad, customización y facilidad de integración. ",
2026-05-24T06:14:48.812+00:00,stt,openai,whisper-1,cloud,a2_oracion_media,5,2617.476599989459,,1109,191,seconds_x100,chars,0.0011090125,0.09523809523809523,WER,"El Benchmarking Sistemático de Servicios Cognitivos contempla seis dimensiones interdependientes que incluyen latencia, precisión, costo-privacidad, customización y facilidad de integración. ",
2026-05-24T06:14:50.802+00:00,stt,openai,whisper-1,cloud,a3_numeros_y_terminos,1,1989.276499953121,,818,104,seconds_x100,chars,0.0008187625000000001,0.4782608695652174,WER,"El modelo cuenta con 32.000 polígonos, 63 blendsapes y soporta leaching por análisis FFT de 512 puntos. ",
2026-05-24T06:14:52.027+00:00,stt,openai,whisper-1,cloud,a3_numeros_y_terminos,2,1224.6736999368295,,818,104,seconds_x100,chars,0.0008187625000000001,0.4782608695652174,WER,"El modelo cuenta con 32.000 polígonos, 63 blendsapes y soporta leaching por análisis FFT de 512 puntos. ",
2026-05-24T06:14:53.130+00:00,stt,openai,whisper-1,cloud,a3_numeros_y_terminos,3,1102.882800041698,,818,104,seconds_x100,chars,0.0008187625000000001,0.4782608695652174,WER,"El modelo cuenta con 32.000 polígonos, 63 blendsapes y soporta leaching por análisis FFT de 512 puntos. ",
2026-05-24T06:14:54.110+00:00,stt,openai,whisper-1,cloud,a3_numeros_y_terminos,4,978.6474000429735,,818,104,seconds_x100,chars,0.0008187625000000001,0.4782608695652174,WER,"El modelo cuenta con 32.000 polígonos, 63 blendsapes y soporta leaching por análisis FFT de 512 puntos. ",
2026-05-24T06:14:55.704+00:00,stt,openai,whisper-1,cloud,a3_numeros_y_terminos,5,1594.4662999827415,,818,104,seconds_x100,chars,0.0008187625000000001,0.4782608695652174,WER,"El modelo cuenta con 32.000 polígonos, 63 blendsapes y soporta leaching por análisis FFT de 512 puntos. ",
