timestamp,run_batch_id,category,provider,model,deployment,test_id,run_id,latency_ms,ttft_ms,input_size,output_size,input_unit,output_unit,cost_usd,quality_metric,quality_metric_name,output_preview,notes,error,ts
2026-06-14T22:13:54.910+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a1_saludo_corto,1,3375.8358000195585,,424,73,seconds_x100,chars,0.0004242875,0.0,WER,"Hola, buenos días. Soy un agente virtual de prueba para el benchmarking. ",,,2026-06-14 22:13:54.910000+00:00
2026-06-14T22:13:57.554+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a1_saludo_corto,2,2643.7139000045136,,424,73,seconds_x100,chars,0.0004242875,0.0,WER,"Hola, buenos días. Soy un agente virtual de prueba para el benchmarking. ",,,2026-06-14 22:13:57.554000+00:00
2026-06-14T22:13:58.465+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a1_saludo_corto,3,910.2621999918484,,424,73,seconds_x100,chars,0.0004242875,0.0,WER,"Hola, buenos días. Soy un agente virtual de prueba para el benchmarking. ",,,2026-06-14 22:13:58.465000+00:00
2026-06-14T22:14:00.569+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a1_saludo_corto,4,2103.775499970652,,424,73,seconds_x100,chars,0.0004242875,0.0,WER,"Hola, buenos días. Soy un agente virtual de prueba para el benchmarking. ",,,2026-06-14 22:14:00.569000+00:00
2026-06-14T22:14:02.085+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a1_saludo_corto,5,1516.1706000217237,,424,73,seconds_x100,chars,0.0004242875,0.0,WER,"Hola, buenos días. Soy un agente virtual de prueba para el benchmarking. ",,,2026-06-14 22:14:02.085000+00:00
2026-06-14T22:14:03.446+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a2_oracion_media,1,1346.3317999849096,,1109,191,seconds_x100,chars,0.0011090125,0.0952380952380952,WER,"El Benchmarking Sistemático de Servicios Cognitivos contempla seis dimensiones interdependientes que incluyen latencia, precisión, costo-privacidad, customización y facilidad de integración. ",,,2026-06-14 22:14:03.446000+00:00
2026-06-14T22:14:05.593+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a2_oracion_media,2,2145.5136999720708,,1109,191,seconds_x100,chars,0.0011090125,0.0952380952380952,WER,"El Benchmarking Sistemático de Servicios Cognitivos contempla seis dimensiones interdependientes que incluyen latencia, precisión, costo-privacidad, customización y facilidad de integración. ",,,2026-06-14 22:14:05.593000+00:00
2026-06-14T22:14:08.279+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a2_oracion_media,3,2686.1854000017047,,1109,191,seconds_x100,chars,0.0011090125,0.0952380952380952,WER,"El Benchmarking Sistemático de Servicios Cognitivos contempla seis dimensiones interdependientes que incluyen latencia, precisión, costo-privacidad, customización y facilidad de integración. ",,,2026-06-14 22:14:08.279000+00:00
2026-06-14T22:14:10.916+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a2_oracion_media,4,2636.7561999941245,,1109,191,seconds_x100,chars,0.0011090125,0.0952380952380952,WER,"El Benchmarking Sistemático de Servicios Cognitivos contempla seis dimensiones interdependientes que incluyen latencia, precisión, costo-privacidad, customización y facilidad de integración. ",,,2026-06-14 22:14:10.916000+00:00
2026-06-14T22:14:13.426+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a2_oracion_media,5,2509.413900028449,,1109,191,seconds_x100,chars,0.0011090125,0.0952380952380952,WER,"El Benchmarking Sistemático de Servicios Cognitivos contempla seis dimensiones interdependientes que incluyen latencia, precisión, costo-privacidad, customización y facilidad de integración. ",,,2026-06-14 22:14:13.426000+00:00
2026-06-14T22:14:14.774+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a4_parrafo_tecnico,1,1335.7019999530166,,1575,259,seconds_x100,chars,0.00157573125,0.0263157894736842,WER,"La evaluación comparativa de modelos de lenguaje, reconocimiento de voz y síntesis de voz requiere prompts controlados, audios estandarizados y mediciones repetidas para reducir la varianza inducida p",,,2026-06-14 22:14:14.774000+00:00
2026-06-14T22:14:18.917+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a4_parrafo_tecnico,2,4142.731999978423,,1575,259,seconds_x100,chars,0.00157573125,0.0263157894736842,WER,"La evaluación comparativa de modelos de lenguaje, reconocimiento de voz y síntesis de voz requiere prompts controlados, audios estandarizados y mediciones repetidas para reducir la varianza inducida p",,,2026-06-14 22:14:18.917000+00:00
2026-06-14T22:14:20.417+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a4_parrafo_tecnico,3,1499.9825999839231,,1575,259,seconds_x100,chars,0.00157573125,0.0263157894736842,WER,"La evaluación comparativa de modelos de lenguaje, reconocimiento de voz y síntesis de voz requiere prompts controlados, audios estandarizados y mediciones repetidas para reducir la varianza inducida p",,,2026-06-14 22:14:20.417000+00:00
2026-06-14T22:14:22.703+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a4_parrafo_tecnico,4,2285.628099984024,,1575,259,seconds_x100,chars,0.00157573125,0.0263157894736842,WER,"La evaluación comparativa de modelos de lenguaje, reconocimiento de voz y síntesis de voz requiere prompts controlados, audios estandarizados y mediciones repetidas para reducir la varianza inducida p",,,2026-06-14 22:14:22.703000+00:00
2026-06-14T22:14:24.266+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a4_parrafo_tecnico,5,1562.1370999724604,,1575,259,seconds_x100,chars,0.00157573125,0.0263157894736842,WER,"La evaluación comparativa de modelos de lenguaje, reconocimiento de voz y síntesis de voz requiere prompts controlados, audios estandarizados y mediciones repetidas para reducir la varianza inducida p",,,2026-06-14 22:14:24.266000+00:00
2026-06-14T22:14:26.022+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a5_acentos_cr,1,1744.7826999705285,,541,98,seconds_x100,chars,0.00054155,0.3636363636363636,WER,"Mike, ¿qué ponéis lo que hizo el agente virtual hoy? La verdad si jaló pura vida con el DeepSink. ",,,2026-06-14 22:14:26.022000+00:00
2026-06-14T22:14:27.200+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a5_acentos_cr,2,1177.8431000420824,,541,98,seconds_x100,chars,0.00054155,0.3636363636363636,WER,"Mike, ¿qué ponéis lo que hizo el agente virtual hoy? La verdad si jaló pura vida con el DeepSink. ",,,2026-06-14 22:14:27.200000+00:00
2026-06-14T22:14:28.952+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a5_acentos_cr,3,1751.639600028284,,541,98,seconds_x100,chars,0.00054155,0.3636363636363636,WER,"Mike, ¿qué ponéis lo que hizo el agente virtual hoy? La verdad si jaló pura vida con el DeepSink. ",,,2026-06-14 22:14:28.952000+00:00
2026-06-14T22:14:30.968+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a5_acentos_cr,4,2015.4370999662208,,541,98,seconds_x100,chars,0.00054155,0.3636363636363636,WER,"Mike, ¿qué ponéis lo que hizo el agente virtual hoy? La verdad si jaló pura vida con el DeepSink. ",,,2026-06-14 22:14:30.968000+00:00
2026-06-14T22:14:31.743+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,a5_acentos_cr,5,775.1846000319347,,541,98,seconds_x100,chars,0.00054155,0.3636363636363636,WER,"Mike, ¿qué ponéis lo que hizo el agente virtual hoy? La verdad si jaló pura vida con el DeepSink. ",,,2026-06-14 22:14:31.743000+00:00
2026-06-14T22:14:32.958+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,g1_fleurs,1,1202.5464000180364,,576,66,seconds_x100,chars,0.000576,0.1,WER,Los murales o garabatos indeseados reciben el nombre de graffiti. ,,,2026-06-14 22:14:32.958000+00:00
2026-06-14T22:14:33.661+00:00,2026-06-14T21:50:59Z,stt,openai,whisper-1,cloud,g1_fleurs,2,703.2392999972217,,576,66,seconds_x100,chars,0.000576,0.1,WER,Los murales o garabatos indeseados reciben el nombre de graffiti. ,,,2026-06-14 22:14:33.661000+00:00
