timestamp,run_batch_id,category,provider,model,deployment,test_id,run_id,latency_ms,ttft_ms,input_size,output_size,input_unit,output_unit,cost_usd,quality_metric,quality_metric_name,output_preview,notes,error
2026-06-14T23:16:27.086+00:00,2026-06-14T21:50:59Z,tts,openai,gpt-4o-mini-tts,cloud,t1_saludo_corto,1,2917.841700022109,,51,69120,chars,bytes,0.0306,,,openai_t1_saludo_corto_run1.mp3,,
2026-06-14T23:16:29.806+00:00,2026-06-14T21:50:59Z,tts,openai,gpt-4o-mini-tts,cloud,t1_saludo_corto,2,2720.8001000108197,,51,84096,chars,bytes,0.0306,,,openai_t1_saludo_corto_run2.mp3,,
2026-06-14T23:16:31.861+00:00,2026-06-14T21:50:59Z,tts,openai,gpt-4o-mini-tts,cloud,t1_saludo_corto,3,2053.98669996066,,51,69120,chars,bytes,0.0306,,,openai_t1_saludo_corto_run3.mp3,,
2026-06-14T23:16:33.989+00:00,2026-06-14T21:50:59Z,tts,openai,gpt-4o-mini-tts,cloud,t1_saludo_corto,4,2128.290399967227,,51,82560,chars,bytes,0.0306,,,openai_t1_saludo_corto_run4.mp3,,
2026-06-14T23:16:36.853+00:00,2026-06-14T21:50:59Z,tts,openai,gpt-4o-mini-tts,cloud,t1_saludo_corto,5,2863.8670000364073,,51,61824,chars,bytes,0.0306,,,openai_t1_saludo_corto_run5.mp3,,
2026-06-14T23:16:39.829+00:00,2026-06-14T21:50:59Z,tts,openai,gpt-4o-mini-tts,cloud,t2_oracion_media,1,2975.997000001371,,144,198528,chars,bytes,0.0864,,,openai_t2_oracion_media_run1.mp3,,
2026-06-14T23:16:43.156+00:00,2026-06-14T21:50:59Z,tts,openai,gpt-4o-mini-tts,cloud,t2_oracion_media,2,3325.9088000049815,,144,162432,chars,bytes,0.0864,,,openai_t2_oracion_media_run2.mp3,,
2026-06-14T23:16:45.934+00:00,2026-06-14T21:50:59Z,tts,openai,gpt-4o-mini-tts,cloud,t2_oracion_media,3,2777.858599962201,,144,174720,chars,bytes,0.0864,,,openai_t2_oracion_media_run3.mp3,,
2026-06-14T23:16:48.640+00:00,2026-06-14T21:50:59Z,tts,openai,gpt-4o-mini-tts,cloud,t2_oracion_media,4,2706.0035000322387,,144,184320,chars,bytes,0.0864,,,openai_t2_oracion_media_run4.mp3,,
2026-06-14T23:16:52.783+00:00,2026-06-14T21:50:59Z,tts,openai,gpt-4o-mini-tts,cloud,t2_oracion_media,5,4143.118599953596,,144,163968,chars,bytes,0.0864,,,openai_t2_oracion_media_run5.mp3,,
